CropType,Region,Season,SoilType,Rainfall (mm),Temperature (°C),FertilizerUsed (kg),PesticidesUsed (kg),InventoryLevel (kg),DemandForecast (kg)
Wheat,Karnataka,Monsoon,Clay,850,28,1200,30,5000,4500
Rice,Karnataka,Monsoon,Clay,900,29,1000,25,6000,5500
Maize,Karnataka,Kharif,Sandy,950,30,1300,35,4000,3800
Cotton,Karnataka,Monsoon,Clay,750,26,1100,40,7000,6800
Sugarcane,Karnataka,Rabi,Sandy,1000,30,1500,50,12000,11500
Groundnut,Karnataka,Kharif,Loamy,600,32,800,20,3000,2800
Soybean,Karnataka,Monsoon,Clay,800,28,1000,30,4500,4200
Barley,Karnataka,Rabi,Loamy,700,27,900,22,3500,3300
Pulses,Karnataka,Monsoon,Clay,850,29,750,18,2500,2400
Tobacco,Karnataka,Rabi,Sandy,700,26,1100,45,5500,5300
Chili,Karnataka,Kharif,Loamy,750,33,950,40,2000,1800
Tomato,Karnataka,Monsoon,Clay,850,28,1200,30,3500,3300
Onion,Karnataka,Rabi,Loamy,900,27,1050,15,4200,4000
Peas,Karnataka,Monsoon,Sandy,950,25,700,10,2600,2500
Carrot,Karnataka,Kharif,Loamy,600,30,800,20,3000,2900
Potato,Karnataka,Monsoon,Clay,850,28,1200,30,4800,4600
Ginger,Karnataka,Rabi,Loamy,1000,29,1000,15,2000,1900
Turmeric,Karnataka,Kharif,Clay,850,28,950,25,3500,3400
Cabbage,Karnataka,Monsoon,Sandy,700,27,1000,10,3800,3600
Cauliflower,Karnataka,Rabi,Loamy,750,26,950,12,4200,4000
Cucumber,Karnataka,Kharif,Clay,850,28,800,18,3700,3500
Pumpkin,Karnataka,Monsoon,Loamy,650,30,900,25,3100,2900
Watermelon,Karnataka,Rabi,Loamy,750,29,1000,15,3000,2900
Lettuce,Karnataka,Kharif,Sandy,700,30,950,12,2500,2300
Spinach,Karnataka,Monsoon,Clay,800,28,850,18,3200,3100
Eggplant,Karnataka,Rabi,Loamy,900,27,950,20,2900,2800
Sweet Potato,Karnataka,Monsoon,Clay,850,29,800,15,2700,2500
Radish,Karnataka,Kharif,Sandy,800,30,950,22,2200,2100
Beans,Karnataka,Monsoon,Loamy,750,28,900,10,3300,3100
Broccoli,Karnataka,Rabi,Loamy,850,26,950,14,4200,4000
Pineapple,Karnataka,Monsoon,Clay,950,28,1200,20,5200,5000
Papaya,Karnataka,Kharif,Loamy,1000,30,1100,18,4500,4400
Mango,Karnataka,Rabi,Clay,1200,32,1400,35,8000,7800
Jackfruit,Karnataka,Monsoon,Loamy,1100,28,1300,20,7000,6900
Banana,Karnataka,Monsoon,Clay,1000,29,1200,25,6500,6200
Apple,Karnataka,Rabi,Sandy,800,25,900,30,5500,5300
Guava,Karnataka,Monsoon,Loamy,850,28,1000,18,4300,4100
Peach,Karnataka,Kharif,Clay,950,30,1100,22,4200,4000
Plum,Karnataka,Monsoon,Loamy,750,28,950,15,3800,3600
Lemon,Karnataka,Rabi,Clay,1000,29,1100,20,5200,5100
Grapes,Karnataka,Kharif,Loamy,900,30,1200,25,6000,5800
Strawberry,Karnataka,Monsoon,Clay,750,27,950,12,3500,3300
Pomegranate,Karnataka,Monsoon,Loamy,800,28,1000,10,4200,4100
Avocado,Karnataka,Rabi,Clay,950,30,1200,28,4900,4700
Cherry,Karnataka,Monsoon,Sandy,900,29,1000,22,4800,4600
Kiwi,Karnataka,Kharif,Loamy,750,30,850,20,3500,3300
Dragonfruit,Karnataka,Monsoon,Clay,850,28,1000,18,4200,4000
Mulberry,Karnataka,Rabi,Sandy,800,27,950,25,4700,4600
Litchi,Karnataka,Kharif,Loamy,950,30,1200,28,5300,5100
Tamarind,Karnataka,Monsoon,Clay,950,28,1300,30,4600,4400
Jaggery,Karnataka,Rabi,Loamy,800,26,900,22,4800,4600
Almond,Karnataka,Kharif,Clay,700,28,950,18,3000,2900
Walnut,Karnataka,Monsoon,Loamy,750,29,1000,25,3200,3100
Cashew,Karnataka,Rabi,Sandy,800,27,1100,15,3700,3500
Hazelnut,Karnataka,Kharif,Loamy,950,30,1200,22,5000,4800
Olives,Karnataka,Monsoon,Clay,950,28,1300,30,4200,4000
Coconut,Karnataka,Rabi,Loamy,1000,29,1400,25,5400,5200
